Barcode	Product Name	Price
6260100684546	Mango	0.00
6260100684560	Peach	0.00
6260100684591	Sunich Cool Fizzy Blueberry	0.00
6260100684676	Pomegranate	0.00
6260101401739	Shiba Very Bary	0.00
6260101401852	Shiba Party	0.00
6260101401876	Shiba	0.00
6260101402361	Shiba Colala	0.00
6260101403047	SHIBA	0.00
6260101403061	Likoritz Sshiiba	0.00
6260101403979	Likorttz Shiba	0.00
6260101404044	Blueberry Jrlly	0.00
6260101405652	Jelly	0.00
6260111300114	MINOO WAFER	0.00
6260111300121	MINO WAFER	0.00
6260111310106	SAGHE TALAIE	0.00
6260111310960	SAGHE TALAIE	0.00
6260111311028	MINOO BASCUTE	0.00
6260111340165	MINOO BISCUIT	0.00
6260111340172	MINO BISCUIT	0.00
6260111340325	SAQA TELAYEE 480GR	0.00
6260111349229	MAX WAFER	0.00
6260111349236	MAXO WAFER	0.00
6260117300019	Ti Rab	0.00
6260117300088	Ti-tab	0.00
6260117314207	Ti Tap	0.00
6260117390461	Titap 24	0.00
6260125602693	SOUR FRUIT BAR	0.00
6260129460114	POMEGRNATE PASTE	0.00
6260129470014	ROSE WATER	0.00
6260129470021	MINT WATER	0.00
6260137102877	Majid	0.00
6260137104017	MAYONNAISE	0.00
6260137109265	KQSHK	0.00
6260137109272	KASHK480GR	0.00
6260137109913	Majid White Vinegar	0.00
6260142501986	Whey 470g	0.00
6260142501993	WHEY KASH 650GR	0.00
6260142540305	HEY KASHK	0.00
6260142540480	PICKLED	0.00
6260147601360	SOBHAN SOY	0.00
6260159702055	Baghaa Carrot Jam	0.00
6260159702420	Baghaa	0.00
6260159750124	White Vinegar	0.00
6260161506450	Kalleh Cream200gr	0.00
6260161517418	Kashk	0.00
6260175200085	NADINO CAKE	0.00
6260175200122	Nadino Cake	0.00
6260175200207	NADI	0.00
6260175200214	NADI COOKIES	0.00
6260175200481	NADI	0.00
6260175200627	Nadi	0.00
6260175200740	Nadino Cake	0.00
6260175200801	Nadi With Banana 20pcs	0.00
6260175200818	NADI 10 PAKE	0.00
6260175210015	Nadi Coconut 200gr	0.00
6260175210022	Nadi Walnut 200gr	0.00
6260175210213	Nadi Cocoa Cookies 200gr	0.00
6260175210671	Nadi With Walnut 20psc	0.00
6260175210879	Nadi With Coconut 24 Pcs	0.00
6260175220854	Nadino	0.00
6260175220861	NADINO	0.00
6260176808778	Mulli Fruit	0.00
6260176808785	Oring Nectar	0.00
6260176808792	Mago	0.00
6260176808808	Peach Nectar	0.00
6260176808815	Pineapple	0.00
6260176808884	Fruitland	0.00
6260176808891	FRUTLAND	0.00
6260176808907	FRUITLAND	0.00
6260176808938	Red Grape	0.00
6260176808983	Fruitland	0.00
6260176809065	Sour Cherry	0.00
6260176809843	FRUITLAND	0.00
6260176813970	Fruitland	0.00
6260176830014	Cream Mihan 200ml	0.00
6260179120037	Rose Water	0.00
6260242021322	Bahraman Saffron 1gr	0.00
6260259000181	Roll Cake	0.00
6260262100465	Combi Cake	0.00
6260262120241	PICNIC CAKE	0.00
6260262120289	EXTRA CAKE	0.00
6260262120302	Ashna	0.00
6260262120319	ASHENA	0.00
6260262131285	COMBI	0.00
6260262131292	COMBI CAKE	0.00
6260262131308	Combi Cake	0.00
6260273700012	SEKANJEBIN SYRUP 350GR	0.00
6260273700395	Lime Juice 900ml	0.00
6260273700418	OUINCE JAM 820GR	0.00
6260273700661	Quince Jam	0.00
6260273700685	Cherry Jam	0.00
6260273700708	Carrot Jam	0.00
6260273700784	Strawberry Jam	0.00
6260273700906	PICKLED OLIVE 8	0.00
6260273701057	MINT WATER	0.00
6260273701187	Mixed Vegetablels	0.00
6260273701200	Baked Beans	0.00
6260273701224	Cenned Eggplant	0.00
6260273701248	Canned Beans	0.00
6260273701286	Green Peas	0.00
6260273701309	Pickled Cucumbers	0.00
6260273701392	Rose Jam	0.00
6260273701415	Fig Jam 310g	0.00
6260273701491	Fig Jam 820g	0.00
6260273701736	Esalat Pickled	0.00
6260273702054	Chick Peas	0.00
6260273702962	MIXED PICL4D	0.00
6260273703266	FIG JAM	0.00
6260273703273	CHERRY JAM	0.00
6260273703310	Esalat	0.00
6260273710028	Garlic	0.00
6260273714019	Salty Olive	0.00
6260273715092	PICKLED PEPPED620GR	0.00
6260273715429	LIME JUSE	0.00
6260277700018	SPEEIAL GAZ	0.00
6260277700216	MERAG GAZ	0.00
6260287601084	Choco Wafer	0.00
6260287601398	Nadito	0.00
6260290001475	Hajabdollah	0.00
6260290071706	PASHMAK	0.00
6260290071713	PASHMAK	0.00
6260290071720	Shik	0.00
6260319800225	ORANGE MINO	0.00
6260319800751	BANQNA MINO	0.00
6260319802717	Cardamom Flavor	0.00
6260319802809	Family Biscuit	0.00
6260333800201	CN Macron	0.00
6260342100255	PICLED PEPPER	0.00
6260356220024	BAQLAVA 600GR	0.00
6260386802559	JANGAL8	0.00
6260406202567	Nilisa Cake	0.00
6260406234377	6ruffle Ulkan	0.00
6260439110020	COOKIE	0.00
6260439110525	COOKIE	0.00
6260439110556	PAYMAN12	0.00
6260468002372	Sahar Saffron	0.00
6260468040053	Sahar Khiz	0.00
6260468040305	Crystal Rock Candy Saharkhiz	0.00
6260486000084	Cherry Jam	0.00
6260486001067	DERAKHSHAN	0.00
6260486001111	DERAKHSHAN	0.00
6260486001395	Pickled Olives	0.00
6260496430024	PURE NATUAL OIL GHEE 450GR	0.00
6260503300043	Kamchin Wheat Soup	0.00
6260503300159	Kamchin Persian Noodle Soup	0.00
6260503300180	Kamchin Fried	0.00
6260503300456	Frid Fine Herbs	0.00
6260503300500	Kurma Sabzi	0.00
6260503300517	Kamchin	0.00
6260503300524	Gheimeh Stew 480g	0.00
6260503399856	Sabzi Koko	0.00
6260518810018	Broken Hard Sugar 1kg	0.00
6260587410119	GAZ 28 /PISTACHIO	0.00
6260615500300	DEZ MAYE	0.00
6260723200048	paknejad	0.00
6260723200062	LAVASHAK	0.00
6260723200079	Pak Nejad	0.00
6260723200130	Aluche Pak Nejad	0.00
6260726500060	SOYPAK	0.00
6260812000764	Gestiue	0.00
6260812001341	Nadino	0.00
6260812001730	LINE SNACK	0.00
6260812002027	Nadi Strawberry	0.00
6260812002034	Nadi Banana	0.00
6260812002041	Nadi Oring	0.00
6260812002423	Hi Way Cake	0.00
6260812002454	Nadika	0.00
6260812002638	SNACK	0.00
6260812003253	Mini Cake Naddi	0.00
6260812003383	Nadik	0.00
6260860700029	Gol Sohan	0.00
6260860700043	Loghmeh Sohan	0.00
6260860702351	Saedi Nia Sohan Halvaei	0.00
6260860705253	Saedi Nia Choco Sohan	0.00
6260910101479	Lavashake Mino	0.00
6260931400070	Kent	0.00
6261004014712	Rose Water	0.00
6261004016716	Mint Water	0.00
6261004331611	Canned	0.00
6261004476718	1&1 Carrrot Jam	0.00
6261107029378	Gulistan Tarim Rice 2.5kg	0.00
6261107034815	Gulistan Hashimi 2.5 Kg	0.00
6261111100612	1&1 GARLIC PEEKAL	0.00
6261111101473	Vinegar	0.00
6261111101480	Vinegar	0.00
6261111101800	1&1 MAYONNAIE 900GR	0.00
6261111103552	1&1 TOMATO PAST	0.00
6261111103583	Canned Tomato Paste	0.00
6261111103712	Pickled Cucmber	0.00
6261111104306	French Dressing Saauce	0.00
6261111104313	Island Sauce	0.00
6261111105068	APPLE VINGAR	0.00
6261111105112	Lime Juice	0.00
6261111107529	Pickled Cocumber	0.00
6261111107703	TINY PICKLED	0.00
6261111107826	1 1 Pickled Vigetable	0.00
6261111108694	Hot Ketchup	0.00
6261111109097	Mayonnaise Sauce	0.00
6261111109134	VINEGAR	0.00
6261111110376	1&1 Pickled Cucumbers1480g	0.00
6261111110406	Canned Pickled Cucumbers	0.00
6261111110543	1&1 Pomegrante Molasses	0.00
6261111110567	ROSE WATER	0.00
6261111110628	Pickled Blub Garlic	0.00
6261145000629	Salamat Chaco	0.00
6261145001275	BANANA BISCUIT	0.00
6261145001282	Strawberry Biscuit	0.00
6261145013018	Orang Biscuit	0.00
6261145013056	Salamat Besket	0.00
6261145013131	Oringe Biscuits	0.00
6261145013162	Salamat Biscit	0.00
6261145013193	Salamat Bickit	0.00
6261145030060	Salamat Orange Wafer	0.00
6261145030077	Salamat Banana Wafer	0.00
6261145030084	SALAMAT WAFER	0.00
6261145040038	Salamat Coconut Wafer	0.00
6261145040045	Salamat Coffee Wafer	0.00
6261149007099	Top Cakes	0.00
6261149007105	Top Cakes	0.00
6261149007112	Top Cakes	0.00
6261149007129	Top Cake	0.00
6261149007136	Top Cake	0.00
6261149013304	Hibye	0.00
6261149013526	Hibye	0.00
6261149014356	HIBYE	0.00
6261149019993	As	0.00
6261149020968	Coco Biscuit	0.00
6261149020975	Coco Biscuit C	0.00
6261149020999	Sheren Asal	0.00
6261149021316	Tastelt	0.00
6261149021330	Tastelt	0.00
6261149021347	Tastelt	0.00
6261149021354	Tastelt	0.00
6261149021378	Tastelt	0.00
6261149037232	WAFER	0.00
6261149037249	WAFER	0.00
6261149037256	WAFER	0.00
6261149042021	Ssic	0.00
6261149042076	Vanilla Cocoa	0.00
6261149042083	Raisin	0.00
6261149042878	Morning Cocoa Cake	0.00
6261149042885	Morning Coffee	0.00
6261149044278	COCOA	0.00
6261149047200	Tiny	0.00
6261149047897	Morning Apple	0.00
6261149059500	Dubalchoclate200g	0.00
6261149092514	Shirin Asal Allina Orange 24pcs	0.00
6261149092521	Allina Lemon	0.00
6261149092538	Shirin Asal Allina 24pcs	0.00
6261149092545	Shirin Asal Allina Coco Cream 24pcs	0.00
6261149092552	Shirin Asal Allina 24pcs	0.00
6261149133866	Hit20pcs	0.00
6261149137611	Tiny	0.00
6261149143247	NANI	0.00
6261149151808	Romini Chocolate	0.00
6261149154229	Romini	0.00
6261149154373	Romini Chocolate	0.00
6261149154380	Romini Best Real Chocolate	0.00
6261149159101	Plenty Hazelnut Chocolate	0.00
6261149161258	Chocolate White	0.00
6261149161395	DREAM WHITE	0.00
6261149161401	DREAM52	0.00
6261149161418	DREAM 72/	0.00
6261149161425	DREAM MILK	0.00
6261149161449	Chocolate Extra Dark 100gr	0.00
6261149161456	DREAM 85/	0.00
6261149162255	Chocolate White	0.00
6261149162446	Chocolare Extra Dark	0.00
6261149176566	Prestige	0.00
6261177091602	Cherry Jam	0.00
6261198232794	Mahtan Olive	0.00
6261204000133	Bahman	0.00
6261591800804	Koala Sufraa	0.00
6261745400157	Kimia Candy	0.00
6261745400195	Rock Candy	0.00
6261939500014	Bajika Classic	0.00
